title_href,selling_proposition,price,discount,available_color,product_title,main_category
https://us.shein.com/Baby-Boys-Dinosaur-Printed-Vest-And-Letter-Printed-Shorts-2pcs-Casual-Cute-Set-Summer-p-36271938.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,70+ sold recently,2.55,50.0,1.0,"Baby Boys' Dinosaur Printed Vest And Letter Printed Shorts, 2pcs Casual Cute Set, Summer",Baby & Maternity
https://us.shein.com/Baby-Boy-3D-Ear-Design-Hooded-Belted-Flannel-Robe-p-23828369.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,6.8,16.0,1.0,Baby Boy 3D Ear Design Hooded Belted Flannel Robe,Baby & Maternity
https://us.shein.com/Baby-Girl-Floral-Print-Cami-Dress-p-18401775.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,400+ sold recently,3.95,16.0,1.0,Baby Girl Floral Print Cami Dress,Baby & Maternity
https://us.shein.com/Baby-Girl-s-Casual-And-Simple-Flower-Printed-Short-Sleeve-T-Shirt-And-Shorts-Set-Suitable-For-Summer-p-36287776.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,500+ sold recently,6.37,17.0,4.0,"Baby Girl's Casual And Simple Flower Printed Short Sleeve T-Shirt And Shorts Set, Suitable For Summer",Baby & Maternity
https://us.shein.com/Baby-Girl-Letter-Graphic-Tie-Dye-Hoodie-With-Sweatpants-p-9280472.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,100+ sold recently,8.0,25.0,1.0,Baby Girl Letter Graphic Tie Dye Hoodie With Sweatpants,Baby & Maternity
https://us.shein.com/Baby-Girl-Casual-Simple-English-Printed-Short-Sleeve-T-Shirt-And-Shorts-Set-Suitable-For-Summer-p-35979946.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,7.1,13.0,1.0,"Baby Girl Casual Simple English Printed Short Sleeve T-Shirt And Shorts Set, Suitable For Summer",Baby & Maternity
https://us.shein.com/Baby-Boy-Summer-Fashionable-2pcs-Set-Cartoon-Dinosaur-Car-Printed-Short-Sleeve-Top-And-Casual-Shorts-p-30827620.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,100+ sold recently,3.0,40.0,1.0,Baby Boy Summer Fashionable 2pcs/Set Cartoon Dinosaur Car Printed Short Sleeve Top And Casual Shorts,Baby & Maternity
https://us.shein.com/1pair-Girls-Knitted-Ribbed-Leg-Warmers-Perfect-For-Party-Accessory-p-20702709.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,200+ sold recently,2.24,20.0,1.0,"1pair Girls' Knitted Ribbed Leg Warmers, Perfect For Party Accessory",Baby & Maternity
https://us.shein.com/10-Pairs-Set-Of-Random-Colors-Baby-Unisex-Socks-Toddler-Nude-Socks-p-32355388.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,3.9,9.0,4.0,10 Pairs/Set Of Random Colors Baby Unisex Socks Toddler Nude Socks,Baby & Maternity
https://us.shein.com/Baby-Girls-Cute-Simple-Style-Water-Washed-Denim-Shorts-With-Ruffle-Trim-p-28120158.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,9.2,8.0,4.0,Baby Girls' Cute Simple Style Water-Washed Denim Shorts With Ruffle Trim,Baby & Maternity
