title_href,selling_proposition,price,discount,available_color,rank-title,rank-sub,product_title,main_category
https://us.shein.com/90ML-3-0FL-OZ-Fragrance-Hair-Body-Mist-Vanilla-Floral-Fruity-Gourmand-Notes-Body-Spray-For-Women-Plums-Jasmine-Musk-Uplifting-Scent-Perfume-Spray-All-Day-Lasting-Gift-For-Any-Occasion-p-36837690.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,30+ sold recently,5.9,5.0,1.0,,,"90ML 3.0FL.OZ Fragrance Hair & Body Mist Vanilla Floral Fruity Gourmand Notes Body Spray For Women, Plums, Jasmine, Musk Uplifting Scent Perfume Spray, All Day Lasting Gift For Any Occasion",Beauty & Health
https://us.shein.com/SHEGLAM-Color-Bloom-Liquid-Blush-Matte-Finish-Rose-Ritual-Gel-Cream-Blush-Long-Lasting-Non-Fading-Highly-Pigmented-Lightweight-Long-Wear-Smooth-Blusher-Black-Friday-Winter-Pink-Brown-Gifts-Blush-p-2845475.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,4.99,17.0,14.0,#2 Best Sellers,in Blush,SHEGLAM ColorÂ BloomÂ LiquidÂ BlushÂ MatteÂ Finish-Rose RitualÂ  Gel Cream BlushÂ  Long Lasting Non-Fading Highly Pigmented Lightweight Long Wear Smooth Blusher Black Friday Winter Pink Brown Gifts Blush,Beauty & Health
https://us.shein.com/1pc-Silicone-Facial-Massage-Ice-Tray-p-15634507.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,2.64,20.0,1.0,#1 Best Sellers,in Facial Massage Tools,1pc Silicone Facial Massage Ice Tray,Beauty & Health
https://us.shein.com/5Ml-Bottom-Refillable-Perfume-Bottle-With-Pump-Spray-Portable-Aluminum-Fragrance-Container-Cosmetic-Spray-Bottle-Dispenser-Black-Friday-Makeup-Bag-Makeup-Pouch-Skincare-Bag-Toiletry-Bag-Packing-Cubes-Travel-Essentials-Cruise-Essentials-Dorm-Essentials-Wedding-Bridesmaid-Gifts-Mom-Gifts-Birthday-Gifts-Gifts-For-Friends-And-Teachers-Home-Decor-Bathroom-Livingroom-Bedroom-Decor-Bathroom-Organizer-Jewelry-Organizer-Lip-Oil-Organizer-Nail-Polish-Organizer-Makeup-Bag-Storage-Makeup-Organizer-Makeup-Case-p-22137311.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,5.3k+ sold recently,1.5,12.0,1.0,,,"5Ml Bottom Refillable Perfume Bottle With Pump Spray, Portable Aluminum Fragrance Container, Cosmetic Spray Bottle Dispenser Black Friday,Makeup Bag Makeup Pouch Skincare Bag Toiletry Bag Packing Cubes,Travel Essentials Cruise Essentials Dorm Essentials,Wedding Bridesmaid Gifts,Mom Gifts,Birthday Gifts,Gifts For Friends And Teachers,Home Decor,Bathroom Livingroom Bedroom Decor,Bathroom Organizer,Jewelry Organizer,Lip Oil Organizer,Nail Polish Organizer Makeup Bag Storage Makeup Organizer Makeup Case",Beauty & Health
https://us.shein.com/12pcs-Multi-Functional-Makeup-Brush-Set-Including-Powder-Brush-Blush-Brush-Foundation-Brush-Eyeshadow-Brush-Blending-Brush-Contour-Brush-Along-With-An-Oblique-Cut-Beauty-Blender-Rounded-Beauty-Blender-And-White-Powder-Puff-p-25462952.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,7.8,5.0,8.0,#2 Best Sellers,in Brushes Sets,"12pcs Multi-Functional Makeup Brush Set Including Powder Brush, Blush Brush, Foundation Brush, Eyeshadow Brush, Blending Brush, Contour Brush, Along With An Oblique Cut Beauty Blender, Rounded Beauty Blender, And White Powder Puff",Beauty & Health
https://us.shein.com/Turmeric-Lemon-Kojic-Acid-Soap-100g-Suitable-For-Face-Body-And-Hand-Wash-Rich-Foam-Deeply-Cleanses-And-Smoothens-Skin-Handmade-With-Essential-Oil-p-33835321.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,7.8k+ sold recently,2.6,4.0,1.0,,,"Turmeric Lemon Kojic Acid Soap 100g, Suitable For Face, Body And Hand Wash, Rich Foam Deeply Cleanses And Smoothens Skin, Handmade With Essential Oil",Beauty & Health
https://us.shein.com/1-Bottle-Of-45ml-Miss-Sweetheart-Floral-Scent-Eau-De-Parfum-For-Women-Delicate-Charming-DXR243-DXR242-p-32658450.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,3.9k+ sold recently,5.3,4.0,1.0,,,"1 Bottle Of 45ml Miss Sweetheart Floral Scent Eau De Parfum For Women, Delicate & Charming DXR243/DXR242",Beauty & Health
https://us.shein.com/12-Colors-Nail-Art-Product-3-In-1-Extension-Acrylic-Powder-Crystal-Powder-Carving-Powder-Set-For-Nail-Art-Salon-Uv-Gel-Nail-Polish-10g-p-26136784.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,5.66,12.0,1.0,#3 Best Sellers,in Acrylic Nail Powders & Liquids,"12 Colors Nail Art Product, 3 In 1 Extension Acrylic Powder, Crystal Powder & Carving Powder Set For Nail Art, Salon Uv Gel Nail Polish (10g)",Beauty & Health
https://us.shein.com/New-13pcs-Portable-Coffee-brown-Makeup-Brush-Set-With-Velvet-Bag-Including-Blush-Brush-Eyeshadow-Brush-Powder-Brush-Contour-Brush-Concealer-Brush-Full-Set-Of-Makeup-Tools-Black-Friday-p-21862483.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,2.6,7.0,5.0,#3 Best Sellers,in Brushes Sets,"New 13pcs Portable Coffee-brown Makeup Brush Set With Velvet Bag, Including Blush Brush, Eyeshadow Brush, Powder Brush, Contour Brush, Concealer Brush, Full Set Of Makeup Tools Black Friday",Beauty & Health
https://us.shein.com/6-Sheets-288pcs-French-Nail-Art-Stickers-With-Wavy-Circle-Patterns-And-Modeling-Templates-For-Nail-Polish-And-Glitter-Application-To-Create-A-French-Manicure-Without-Overflow-p-36281904.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,40+ sold recently,0.15,89.0,1.0,,,6 Sheets (288pcs) French Nail Art Stickers With Wavy Circle Patterns And Modeling Templates For Nail Polish And Glitter Application To Create A French Manicure Without Overflow,Beauty & Health
https://us.shein.com/1pc-Facial-And-Neck-Massager-With-3-Color-LED-Light-Modes-Perfect-Gift-For-Home-And-Travel-Use-p-31373894.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,7.87,35.0,1.0,#3 Best Sellers,in Beauty Care Appliances,"1pc Facial And Neck Massager With 3-Color LED Light Modes, Perfect Gift For Home And Travel Use",Beauty & Health
